price,address,beds,baths,sq_feet,type,urls,lat,lon,description
79900,"2113 W Kirby Ave, Champaign, IL 61821",3.0,1.0,957.0, House for sale,https://www.zillow.com/homedetails/2113-W-Kirby-Ave-Champaign-IL-61821/3230557_zpid/,40.098087310791016,-88.28341674804688,"'Wow! This is not a drive by! Come inside and take a look at this adorable turn-key home that is flooded with natural light and perfect for a first time home buyer or investor. This home offers new flooring, many new light fixtures/ceiling fans, double pane vinyl replacement windows, and a large yard for your enjoyment. Priced to sell at $79,900 you better hurry as this one is not going to last long. Pack your bags and schedule your tour today!'"
230000,"605 W John St, Champaign, IL 61820",3.0,2.0,1954.0, Under Contract,https://www.zillow.com/homedetails/605-W-John-St-Champaign-IL-61820/3225637_zpid/,40.10871505737305,-88.25235748291016,"""SOLD IN PRIVATE LISTING NETWORK! This home offers the stunning blend of updates and character that you have been waiting for!  Gleaming parquet floors in the Living Room and Dining Room lead to the open, completely remodeled Kitchen.  Relax in the 4-season Sunroom while enjoying the view of the large fenced, backyard.  The unfinished basement provides great storage. Brand new roof installed 2017. This is one you don't want to miss!"""
255000,"3003 Valleybrook Dr, Champaign, IL 61822",4.0,3.0,2210.0, House for sale,https://www.zillow.com/homedetails/3003-Valleybrook-Dr-Champaign-IL-61822/3198599_zpid/,40.0863037109375,-88.29598236083984,"""Desirable Lincolnshire Fields this one owner Hallbeck built home has been lovingly maintained.  Living room/dining room combination is ideal for hosting large gatherings where fond memories are made and stories are told. Filled with natural light this home is a plant lover's delight. Open kitchen/ breakfast area flows seamlessly to the comfortable and cozy family room. Enjoy these cool winter nights nestled up to the brick fireplace. On the separate end of the home are four bedrooms with attractive laminate flooring. Updated master bath with the walk in closet and there is a nice sized guest bath. Patio doors off the family room  lead to the south facing backyard. Let the gardening begin as spring arrives!  The garden shed is perfect for all those extras and the compost bins will be much appreciated.  Entering off the garage to the kitchen is a convenient laundry area, half bath, and another door to the backyard. Storage galore with all the built ins in the two car garage. So close to shopping and restaurants with low county taxes too. Guiding You Home!"""
169900,"1004 S Western Ave, Champaign, IL 61821",4.0,4.0,2834.0, House for sale,https://www.zillow.com/homedetails/1004-S-Western-Ave-Champaign-IL-61821/3226754_zpid/,40.105953216552734,-88.27508544921875,"'This is a GREAT opportunity for a buyer who wants to invest sweat equity into a property and reap the benefits of doubling your investment in no time.  Almost 2900 square feet!  Four bedrooms, 4 baths!  Unique architecture that compares to no other home in the area!  One owner home, wife was architect and designed the home, husband was professor of engineering at the U of I.  Original oak floors and retro 70\'s ceramic tile in the main 1952 house with limestone fireplace, cedar walls soar up to vaulted entryway with skylights!  The rear addition of home that was added in 1972 includes huge family room, workshop, laundry room, half bath, full bath and master bedroom with cedar closet, huge windows that draw the outside in! There is a huge kitchen with cabinets that are SOLID wood and can easily be updated saving you thousands in cabinetry! The 1972 two-story addition, has a master bedroom with full bath upstairs with cedar closet and bar area with secret hidden room that could easily be opened up to be an 8 x 10 walk-in closet!  A huge family room with hand-scraped solid wood floor, wood burning fireplace and large wall of slider patio doors that open to the backyard!  Addition of garage, car port, entryway, huge family room with workshop was added to home in 1972.  Both main house and addition are on separate crawl spaces.  This home is a STEAL for a buyer that is talented in renovating a home or has family or friends that can help.  The home has HUGE potential!  On a very large treed lot!  Don\'t let this one slip away, it could be your dream home!  Home is being sold as-is, seller has priced accordingly.  Buyer welcome to do inspection for their own information for preparation in renovating.  4 bedrooms, 4 baths, HUGE kitchen, living room, family room and master bedroom suite!  Solid wood floors throughout most of the main floor.  Two fireplaces, one being masonry, limestone - note: seller spent $$$$ to have tuck pointing work done, portions of chimney had to be rebuilt including a newly poured cap and flashing work.  Could do conventional financing or cash.  Take advantage of LOWEST interest rates of all time and get locked in to ""dirt cheap"" mortgage payments and redesign your dream home for years of enjoyment in this very unique home!'"
283000,"3205 Weeping Cherry Dr, Champaign, IL 61822",4.0,4.0,2273.0, House for sale,https://www.zillow.com/homedetails/3205-Weeping-Cherry-Dr-Champaign-IL-61822/58532811_zpid/,40.073490142822266,-88.28890991210938,"'Beautiful 2-story home situated on an extra-large lot in Cherry Hills Subdivision.  Charming front porch, spacious living room plus a family room both boasting fireplaces.  The eat-in kitchen offers a ton of cabinets and features a convenient pass-through into the family room, perfect for entertaining, plus a separate dining room.  The master suite includes cathedral ceilings, walk-in closet, and a private bath with double sinks, Jacuzzi tub & separate shower.  Three additional bedrooms, a full bath and a handy 2nd-floor laundry complete the upper level.   The newly finished basement offers a large rec room, full bath, fifth bedroom & extra closet storage! The attached 2.5 car garage offers plenty of space & storage.  New roof to be installed.'"
259900,"1203 Waters Edge Rd, Champaign, IL 61822",5.0,3.0,2454.0, Under Contract,https://www.zillow.com/homedetails/1203-Waters-Edge-Rd-Champaign-IL-61822/59715990_zpid/,40.103355407714844,-88.30632781982422,"'This plan combines many hard-to-find features at this price point, including a 1st floor primary bedroom suite, 2-story central great room, versatile finished basement (plus loads of storage), and a convenient location across the street from neighborhood walking/bike path and common area with pond. The 6.1-acre Turnberry Ridge Park is also less than than 2 blocks away, complete with playground and walking path. The versatile floor plan offers a front dining/flex room with double windows. The floor plan revolves around the central 2-story great room with a wall of windows, high efficiency sealed gas fireplace, and open stairway.  The kitchen features granite counters that were just installed in July 2020, along with a newer stainless refrigerator, and ceramic tile floor. The kitchen features 9-foot ceiling and French doors opening to the deck and backyard. The 1st floor bedroom suite features an oversize corner whirlpool tub & separate shower, along with double vanities & walk-in closet. The 2nd floor offers 3 additional bedrooms & a shared hall bath. The finished basement has most recently been used as a fitness studio, and offers tremendous potential for gaming, theater, or a 5th bedroom (with an egress window already in place). Home offers and HWA 13-month Home Warranty! See HD photo gallery & 3D virtual tour!'"
254900,"1711 Glenn Park Dr, Champaign, IL 61821",4.0,3.0,1842.0, New construction,https://www.zillow.com/homedetails/1711-Glenn-Park-Dr-Champaign-IL-61821/3222944_zpid/,40.119049072265625,-88.27633666992188,"'Brand new construction, built to the latest in energy efficiency.4 spacious bedrooms, 2.5 baths, large closets, beautiful kitchen with white cabinets, ss appliances, and granite counter tops. Family room has fireplace, large master bedroom with huge walk-in closet and luxurious bath. lots of wood flooring, and tile showers and floors in baths,Home is designed for maximum privacy, Large back yard with mature trees. Located right across the street from the newly created park, playground, and fountain fed pond. Quiet area, but close in. Taxes are for lot only.'"
144000,"1406 Briarwood Dr, Champaign, IL 61821",4.0,2.0,1433.0, Under Contract,https://www.zillow.com/homedetails/1406-Briarwood-Dr-Champaign-IL-61821/3229142_zpid/,40.100616455078125,-88.28662109375,"""Better than new. Extremely high end finishes. Total remodeled. Ceramic floored baths & kitchen, Solid surface countertops. Custom solid wood cabinets. Viking commercial quality stove. Rinnai Tankless water heater. New roof with upgraded sheathing, siding & windows. Huge privacy fenced parklike backyard with 16x16' covered patio & oversized shed with storm shelter. 4 Bedroom, 2 Baths. Separate laundry room with oversized stainless sink. Woodstove fireplace. Closets with custom shelving. New paint & flooring throughout"""
75000,"907 W Tremont St, Champaign, IL 61821",2.0,1.0,750.0, House for sale,https://www.zillow.com/homedetails/907-W-Tremont-St-Champaign-IL-61821/3222641_zpid/,40.124290466308594,-88.2587890625,"'Charming bungalow perfect as a starter home, or investment property with great rental history! Located in established Champaign neighborhood and close to everything. Updated kitchen and bath. Oversized two car garage. Unfinished full basement with abundant storage. New roof in 2017. Available now!'"
158000,"3323 W William St, Champaign, IL 61821",3.0,2.0,1431.0, Under Contract,https://www.zillow.com/homedetails/3323-W-William-St-Champaign-IL-61821/3229772_zpid/,40.1059684753418,-88.30343627929688,"""This custom built 3-bedroom, 2 full-bathroom ranch features many extras, and has been extremely well maintained by its original owner. Situated on a quiet cul-de-sac just steps from a city park that boasts walking paths, playground and sports fields-this location offers convenience. Schools, shopping, and a bus stop are nearby too. The floor plan is spacious and practical. Natural light floods the great room which is open to the dining room. Step outside through the dining room's sliding door to enjoy your morning coffee and a peaceful rural view on the large raised deck with built-in seating. The kitchen features oak cabinetry, a breakfast bar with extra storage, ceiling fan, and a suite of appliances which all convey. The generously sized master bedroom has ample closet space, a new light fixture (2020) and a master bathroom with recent updates. Other improvements include: new windows (2020 & 2008), new shingles (2009), gutter extensions (2020), recently painted home interior and garage (2019 & 2020), washer and dryer (2018), and master bathroom flooring (2018). Utilize plenty of sturdy built-in storage shelves in the attached double garage. The well-kept yard is accentuated with beautiful flowering shrubs, ornamentals, established perennials, and a professionally-installed landscape border which makes mowing a breeze. Schedule your showing now for this clean, move-in-ready home!"""
325000,"5003 Emmas Way, Champaign, IL 61822",3.0,4.0,1958.0, House for sale,https://www.zillow.com/homedetails/5003-Emmas-Way-Champaign-IL-61822/120801078_zpid/,40.09080123901367,-88.32939147949219,"'This Bradford floor plan packages an incredible number of sought-after features in a manner that belies its square footage and size. The entire 1st floor features 9-foot ceilings and hand-scraped style hardwood flooring. A front flex room with French doors is ideal for a home office, music room, play space, or formal dining. The kitchen, casual dining, and family room are all open for easy entertaining. The kitchen features quartz counters, undermount sink, mosaic tile backsplash and a full complement of G.E. stainless steel premium appliances. The 3 upstairs bedrooms are all generously sized, including the primary bedroom with tray ceiling, walk-in closet and en suite bathroom with double vanities, whirlpool tub, and walk-in shower. The finished basement offers open family/media/game room, 4th bedroom, and 3rd full bath, along with unfinished storage & utility space. The backyard is fully fenced with ornamental aluminum fencing. See HD photos and 3D immersive virtual tour!'"
299900,"2416 N Nottingham Ct, Champaign, IL 61821",4.0,3.0,2310.0, House for sale,https://www.zillow.com/homedetails/2416-N-Nottingham-Ct-Champaign-IL-61821/3234297_zpid/,40.08323669433594,-88.2582778930664,"""This home is fantastic. A truly fabulous traditional home on a treelined cul de sac in Champaign's Devonshire South. This prime location features proximity to all of your favorite hot spots. Centrally located with easy access to grocery stores, restaurants, boutiques, shops, schools, parks and so much more. 4 large bedrooms with a wealth of closet space, 2.5 recently remodeled bathrooms and a beautifully updated & fully loaded kitchen. Lovely hard surface flooring throughout and loads of southern light, make this home an airy contemporary haven. A large and private backyard includes an outdoor deck that is perfect for entertaining. Let's make this lovely house your home. Home has NEW 50 year shingles roof (2020)."""
150000,"1738 Westhaven Dr, Champaign, IL 61820",3.0,4.0,2810.0, Under Contract,https://www.zillow.com/homedetails/1738-Westhaven-Dr-Champaign-IL-61820/3233577_zpid/,40.09466552734375,-88.25175476074219,"""Located on a quiet street near local shops, restaurants, and parks, this spacious tri-level with basement has all the space you'll need! Surrounded by mature trees on a corner lot, the brick exterior and charming blue shutters pop from the street. You are greeted on the main floor by a large foyer with mid-century tile that leads into a bright family room with sliding glass doors out to the back patio. A small staircase leads you to an elevated level where warm hardwood floors flows into a cozy living room with a large brick fireplace and a formal dining room. Cooking is easy in this spacious, eat-in kitchen thanks to an easy layout, tons of cabinet space, and plenty of counter space. A breakfast nook off the kitchen includes access to a second patio space in the yard. Retreat to the third level which features a master with attached half bath, two additional spacious bedrooms, and a full bathroom. Need more? The finished basement offers tons of extra living space with an additional family room with fireplace, a kitchenette and eating space, a fourth bedroom, full bath, and a utility room with laundry hookups. The fully fenced backyard feels like a private retreat. Property sold as is. Potential short sale. Come take a look and make it yours today!"""
115000,"421 Fairview Dr, Champaign, IL 61820",3.0,1.0,1454.0, House for sale,https://www.zillow.com/homedetails/421-Fairview-Dr-Champaign-IL-61820/3219531_zpid/,40.12907791137695,-88.24994659423828,"""Completely updated with immediate income opportunity! You'll instantly appreciate this fully remodeled 3 bedroom home! Low maintenance vinyl flooring runs throughout the living areas and bedrooms. The spacious living room flows right into the bright white kitchen with neutral counters. The bonus family room offers a great space for a home office or den and leads to a large master bedroom! Two additional bedrooms and a modern full bathroom! Entertaining is easy in the large fenced backyard with patio space. Rented for $1000/mo through February 2022."""
95000,"2105 Melrose Dr APT C, Champaign, IL 61820",3.0,2.0,1339.0, Condo for sale,https://www.zillow.com/homedetails/2105-Melrose-Dr-APT-C-Champaign-IL-61820/2105466051_zpid/,40.086795806884766,-88.25515747070312,"'Enjoy condo living in this three-bedroom two-bathroom condo in Colony West!  You will enjoy the bright space with abundant natural light, an updated kitchen, and updated main bathroom vanity.  Colony West is centrally located near several parks, restaurants, and shopping centers.  The commons areas provide several walking paths, a small play structure,  basketball court, tennis courts, and an inground pool perfect for those hot summer days.  Your monthly condo fee covers all of these amenities as well as trash removal, water, snow removal, lawn care, and commons insurance.  This condo is a third-floor unit with vaulted ceilings and an upstairs loft with a full staircase.  The flooring was recently replaced, a fresh coat of paint added and newer mechanicals!  This space is ready for you to move right in and make it your own.'"
